0.00, 0.01, -0.00, 0.01, 0.00, -0.01, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.01, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.01, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.01, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.02, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.01, -0.00, 0.02, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.00, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.03, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.03, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.00, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.04, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.02, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.05, -0.00
0.01, 0.03, -0.00, 0.04, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.00
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.06, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.05, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.03, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.07, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.06, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.08, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.04, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.07, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.09, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.01, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.08, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.10, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.05, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.11, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.09, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.12, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.10, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.01, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.06, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.13, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.11, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
0.02, 0.07, -0.00, 0.12, 0.02, -0.14, -0.01
